game_id,date,home,away,tip,home_score,away_score
401856890,20260508,NY,CON,2026-05-08T23:30Z,106.0,75.0
401856891,20260508,TOR,WSH,2026-05-08T23:30Z,65.0,68.0
401856892,20260508,SEA,GS,2026-05-09T02:00Z,80.0,91.0
401856893,20260509,IND,DAL,2026-05-09T17:00Z,104.0,107.0
401856894,20260509,LV,PHX,2026-05-09T19:30Z,66.0,99.0
401856895,20260509,POR,CHI,2026-05-10T01:00Z,83.0,98.0
401856899,20260509,MIN,ATL,2026-05-10T00:00Z,90.0,91.0
401856896,20260510,CON,SEA,2026-05-10T17:00Z,82.0,89.0
401856897,20260510,WSH,NY,2026-05-10T19:00Z,93.0,98.0
401856898,20260510,LA,LV,2026-05-10T22:00Z,78.0,105.0
401856900,20260510,GS,PHX,2026-05-11T00:30Z,95.0,79.0
401856901,20260512,DAL,ATL,2026-05-13T00:00Z,72.0,77.0
401856902,20260512,PHX,MIN,2026-05-13T02:00Z,84.0,88.0
401856903,20260512,POR,NY,2026-05-13T02:00Z,98.0,96.0
401856904,20260513,TOR,SEA,2026-05-13T23:00Z,86.0,73.0
401856905,20260513,CON,LV,2026-05-14T00:00Z,69.0,98.0
401856906,20260513,GS,CHI,2026-05-14T02:00Z,63.0,69.0
401856907,20260513,LA,IND,2026-05-14T02:30Z,78.0,87.0
401856908,20260514,DAL,MIN,2026-05-15T00:00Z,86.0,90.0
401856909,20260514,POR,NY,2026-05-15T02:00Z,82.0,100.0
401856910,20260515,CON,LV,2026-05-15T23:30Z,94.0,101.0
401856911,20260515,IND,WSH,2026-05-15T23:30Z,102.0,104.0
401856912,20260515,LA,TOR,2026-05-16T02:00Z,99.0,95.0
401856913,20260515,PHX,CHI,2026-05-16T02:00Z,91.0,83.0
401856914,20260517,MIN,CHI,2026-05-17T23:00Z,79.0,86.0
401856915,20260517,ATL,LV,2026-05-17T17:30Z,84.0,85.0
401856916,20260517,IND,SEA,2026-05-17T22:00Z,89.0,78.0
401856917,20260517,LA,TOR,2026-05-17T23:00Z,96.0,106.0
401856918,20260518,DAL,WSH,2026-05-19T00:00Z,92.0,69.0
401856919,20260518,POR,CON,2026-05-19T02:00Z,83.0,82.0
401856920,20260519,PHX,TOR,2026-05-20T02:00Z,90.0,98.0
401856921,20260520,IND,POR,2026-05-20T23:00Z,90.0,73.0
401856922,20260520,CHI,DAL,2026-05-21T01:00Z,89.0,99.0
401856923,20260520,SEA,CON,2026-05-21T02:00Z,78.0,80.0
401856924,20260521,NY,GS,2026-05-22T00:00Z,70.0,87.0
401856925,20260521,MIN,TOR,2026-05-22T00:00Z,100.0,72.0
401856926,20260521,PHX,LA,2026-05-22T02:00Z,88.0,97.0
401856927,20260522,ATL,DAL,2026-05-22T23:30Z,86.0,69.0
401856928,20260522,IND,GS,2026-05-22T23:30Z,90.0,82.0
401856929,20260522,SEA,CON,2026-05-23T02:00Z,77.0,59.0
401856930,20260523,CHI,MIN,2026-05-23T17:00Z,75.0,85.0
401856931,20260523,TOR,POR,2026-05-23T22:00Z,80.0,99.0
401856932,20260523,LV,LA,2026-05-24T00:00Z,95.0,101.0
401856933,20260524,ATL,PHX,2026-05-24T19:00Z,82.0,80.0
401856934,20260524,NY,DAL,2026-05-24T19:30Z,76.0,91.0
401856935,20260524,SEA,WSH,2026-05-24T22:00Z,97.0,85.0
401856936,20260525,NY,POR,2026-05-26T00:00Z,74.0,81.0
401856937,20260525,GS,CON,2026-05-26T02:00Z,97.0,70.0
401856938,20260527,NY,PHX,2026-05-27T23:00Z,84.0,74.0
401856939,20260527,CHI,TOR,2026-05-28T00:00Z,104.0,111.0
401856940,20260527,MIN,ATL,2026-05-28T01:00Z,96.0,81.0
401856941,20260527,POR,CON,2026-05-28T02:00Z,71.0,61.0
401856942,20260527,SEA,WSH,2026-05-28T02:00Z,64.0,78.0
401856943,20260528,DAL,LV,2026-05-29T00:00Z,95.0,87.0
401856944,20260528,GS,IND,2026-05-29T02:00Z,90.0,88.0
401856945,20260529,NY,PHX,2026-05-29T23:30Z,75.0,68.0
401856946,20260529,WSH,LA,2026-05-29T23:30Z,87.0,92.0
401856947,20260529,CHI,MIN,2026-05-29T23:30Z,58.0,79.0
401856948,20260529,POR,ATL,2026-05-30T02:00Z,66.0,86.0
401856949,20260530,TOR,SEA,2026-05-30T17:00Z,93.0,72.0
401856950,20260530,CON,LA,2026-05-30T22:00Z,84.0,81.0
401856951,20260530,POR,IND,2026-05-31T00:00Z,100.0,84.0
401856952,20260531,GS,LV,2026-05-31T19:30Z,81.0,91.0
401856953,20260601,DAL,SEA,2026-06-02T00:00Z,79.0,56.0
401856954,20260601,PHX,MIN,2026-06-02T02:00Z,77.0,111.0
401856955,20260602,ATL,CON,2026-06-02T23:30Z,91.0,75.0
401856956,20260602,WSH,CHI,2026-06-02T23:30Z,90.0,72.0
401856957,20260602,GS,POR,2026-06-03T02:00Z,95.0,77.0
401856958,20260602,LA,LV,2026-06-03T02:00Z,69.0,79.0
401856959,20260603,NY,TOR,2026-06-03T23:30Z,97.0,82.0
401856960,20260603,SEA,PHX,2026-06-04T02:00Z,68.0,72.0
401856961,20260604,IND,ATL,2026-06-04T23:00Z,83.0,71.0
401856962,20260604,MIN,GS,2026-06-05T01:00Z,87.0,84.0
401856963,20260605,CHI,CON,2026-06-05T23:30Z,85.0,80.0
401856964,20260605,LA,DAL,2026-06-06T02:00Z,96.0,104.0
401856965,20260605,POR,PHX,2026-06-06T02:00Z,72.0,78.0
401856966,20260606,MIN,SEA,2026-06-06T17:00Z,88.0,68.0
401856967,20260606,LV,GS,2026-06-06T19:00Z,84.0,79.0
401856968,20260606,ATL,WSH,2026-06-06T22:00Z,109.0,77.0
401856969,20260606,NY,IND,2026-06-07T00:00Z,83.0,75.0
401856970,20260607,TOR,CHI,2026-06-07T19:00Z,85.0,68.0
401856971,20260607,LA,POR,2026-06-07T23:00Z,89.0,72.0
401856972,20260608,CON,NY,2026-06-08T23:00Z,80.0,89.0
401856973,20260608,WSH,IND,2026-06-08T23:00Z,76.0,78.0
401856974,20260608,LV,SEA,2026-06-09T02:00Z,101.0,91.0
401856975,20260609,CHI,ATL,2026-06-09T23:00Z,75.0,82.0
401856976,20260609,MIN,DAL,2026-06-10T00:00Z,100.0,76.0
401856977,20260609,GS,PHX,2026-06-10T02:00Z,87.0,81.0
401856978,20260610,TOR,CON,2026-06-10T23:00Z,106.0,102.0
401856979,20260610,SEA,LA,2026-06-11T02:00Z,83.0,88.0
401856980,20260611,IND,CHI,2026-06-11T23:00Z,114.0,106.0
401856981,20260611,ATL,NY,2026-06-11T23:30Z,90.0,104.0
401856982,20260611,DAL,PHX,2026-06-12T01:00Z,85.0,70.0
401856983,20260611,POR,LV,2026-06-12T02:00Z,89.0,105.0
401856984,20260612,WSH,TOR,2026-06-12T23:30Z,86.0,85.0
401856985,20260612,SEA,GS,2026-06-13T02:00Z,72.0,76.0
401856986,20260613,CON,IND,2026-06-13T22:00Z,75.0,85.0
401856987,20260613,LV,MIN,2026-06-14T00:00Z,100.0,97.0
401856988,20260613,POR,DAL,2026-06-14T00:30Z,84.0,83.0
401856989,20260613,PHX,LA,2026-06-14T02:00Z,102.0,111.0
401856990,20260614,NY,WSH,2026-06-14T19:00Z,86.0,64.0
401856991,20260614,TOR,ATL,2026-06-14T19:00Z,77.0,102.0
401856992,20260615,DAL,LV,2026-06-16T00:00Z,96.0,66.0
401856993,20260615,MIN,POR,2026-06-16T00:00Z,107.0,74.0
401856994,20260615,GS,LA,2026-06-16T02:00Z,78.0,58.0
401856995,20260616,IND,TOR,2026-06-16T23:00Z,113.0,91.0
401856996,20260617,CON,WSH,2026-06-17T23:00Z,81.0,88.0
401856997,20260617,CHI,NY,2026-06-18T00:00Z,95.0,96.0
401856998,20260617,GS,DAL,2026-06-18T02:00Z,91.0,80.0
401856999,20260617,LA,MIN,2026-06-18T02:00Z,83.0,99.0
401857000,20260617,PHX,LV,2026-06-18T02:00Z,76.0,86.0
401857001,20260617,POR,SEA,2026-06-18T02:00Z,94.0,89.0
401857002,20260618,IND,ATL,2026-06-18T23:30Z,101.0,108.0
401857003,20260619,CON,TOR,2026-06-19T23:30Z,97.0,101.0
401857004,20260619,NY,WSH,2026-06-19T23:30Z,83.0,86.0
401857005,20260619,GS,MIN,2026-06-20T02:00Z,75.0,81.0
401857006,20260620,ATL,IND,2026-06-20T17:00Z,113.0,96.0
401857007,20260620,PHX,SEA,2026-06-20T19:07Z,93.0,73.0
401857008,20260620,DAL,CHI,2026-06-21T00:00Z,93.0,92.0
401857009,20260621,LV,GS,2026-06-21T20:00Z,92.0,73.0
401857010,20260621,MIN,WSH,2026-06-21T22:00Z,79.0,84.0
401857011,20260621,LA,NY,2026-06-22T00:00Z,98.0,97.0
401857012,20260622,CON,CHI,2026-06-22T23:00Z,92.0,63.0
401857013,20260622,ATL,TOR,2026-06-22T23:30Z,94.0,87.0
401857014,20260622,IND,PHX,2026-06-23T00:00Z,86.0,77.0
401857015,20260622,SEA,DAL,2026-06-23T02:00Z,110.0,112.0
401857016,20260623,LV,NY,2026-06-24T02:00Z,76.0,87.0
401857017,20260624,IND,PHX,2026-06-24T23:30Z,109.0,111.0
401857018,20260624,WSH,MIN,2026-06-24T23:30Z,76.0,78.0
401857019,20260624,CHI,POR,2026-06-25T00:00Z,101.0,78.0
401857020,20260624,GS,ATL,2026-06-25T02:00Z,77.0,66.0
401857021,20260625,TOR,LA,2026-06-25T23:00Z,125.0,97.0
401857022,20260625,LV,DAL,2026-06-26T02:00Z,99.0,84.0
401857023,20260625,SEA,NY,2026-06-26T02:00Z,99.0,88.0
401857024,20260626,CON,WSH,2026-06-26T23:30Z,,
401857025,20260626,CHI,POR,2026-06-26T23:30Z,,
401857026,20260626,GS,ATL,2026-06-27T02:00Z,,
