logged_utc,date,home,away,tip,v3_margin,v5_margin,tot_pred,pin_spread,pin_total,pin_ml,outs,d_pnews,d_telo,d_oreb,d_p3ar,d_fluid,d_drop,d_pfr,s_pace,s_tov,d_p3pct,lg_env,top2_H,top2_A,proj_min_H,proj_min_A,n_outs,b3_coef,b5_coef,bt_coef,home_score,away_score,margin,total,close_spread,close_total,close_ml,v3_err,v5_err,tot_err,ats_v3,ats_v5,ou,ml_pick_v5,ml_correct
2026-07-15T18:41:32Z,2026-07-16,IND,GS,00:00,2.16,-0.48,173.4,"-3.0@117,-143","168.5@102,-128","@-123,105",,0.055,6.3,-0.0272,-0.0422,0.315,0.0592,1.49,158.48,-0.0085,0.1008,174.75,Kelsey Mitchell|Aliyah Boston,Veronica Burton|Gabby Williams,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.136|25.59|13.65|-182.6,,,,,,,,,,,,,,,
2026-07-15T23:36:44Z,2026-07-16,IND,GS,00:00,2.16,-0.48,173.8,"-4.0@123,-149","167.5@100,-126","@-138,118",,0.055,6.3,-0.0272,-0.0422,0.315,0.0592,1.49,158.48,-0.0085,0.1008,175.08,Kelsey Mitchell|Aliyah Boston,Veronica Burton|Gabby Williams,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.157|24.44|13.88|-185.8,,,,,,,,,,,,,,,
2026-07-16T18:44:44Z,2026-07-16,WSH,POR,23:00,2.36,3.89,182.8,"-8.0@114,-139","164.0@-101,-124","@-274,227",,0.032,37.5,0.0769,-0.1348,-0.123,-0.1826,-4.063,170.19,0.0145,-0.0633,171.97,Sonia Citron|Kiki Iriafen,Bridget Carleton|Sarah Ashlee Barker,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.177|23.29|14.08|-189,56.0,75.0,-19.0,131.0,,,,-21.36,-22.89,-51.80000000000001,W,W,L,WSH,L
2026-07-17T18:38:04Z,2026-07-17,IND,SEA,23:30,7.52,5.49,173.6,"-10.5@108,-131","179.5@113,-142","@-447,355",,0.252,171.1,-0.0072,0.0373,0.355,0.2618,1.25,166.69,-0.0285,0.1281,164.72,Kelsey Mitchell|Aliyah Boston,Natisha Hiedeman|Flau'jae Johnson,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.215|21.21|14.47|-194.9,110.0,107.0,3.0,217.0,,,,-4.52,-2.49,43.400000000000006,W,W,L,IND,W
2026-07-17T18:38:04Z,2026-07-17,TOR,ATL,23:30,-5.39,-7.12,176.2,"8.0@121,-148","183.0@-101,-124","@334,-418",,-0.334,-134.3,-0.0993,0.0542,-0.015,-0.1481,1.878,168.31,0.0156,0.104,164.72,Julie Allemand|Maria Conde,Rhyne Howard|Jordin Canada,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.215|21.21|14.47|-194.9,92.0,111.0,-19.0,203.0,,,,-13.61,-11.879999999999999,26.80000000000001,L,L,L,ATL,W
2026-07-17T18:38:04Z,2026-07-17,CHI,LA,23:30,1.6,1.68,180.4,"-3.0@120,-146","184.5@104,-130","@-120,103",,-0.052,-61.6,0.0586,-0.0205,-0.011,0.0698,1.404,173.18,-0.0061,0.0177,164.72,Azura Stevens|Natasha Cloud,Nneka Ogwumike|Dearica Hamby,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.215|21.21|14.47|-194.9,96.0,82.0,14.0,178.0,,,,12.4,12.32,-2.4000000000000057,L,L,W,CHI,W
2026-07-17T18:38:04Z,2026-07-18,PHX,CON,02:00,2.41,2.4,167.8,"-3.5@-124,102","165.0@108,-136","@-183,155",,-0.031,112.2,-0.0812,0.1595,0.043,-0.0148,-4.148,162.3,0.0024,0.0505,164.72,Alyssa Thomas|Kahleah Copper,Leila Lacan|Charlisse Leger-Walker,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.215|21.21|14.47|-194.9,,,,,,,,,,,,,,,
2026-07-17T23:31:47Z,2026-07-17,IND,SEA,23:30,7.52,5.49,171.2,"-10.0@119,-144","178.5@-101,-124","@-386,311",,0.252,171.1,-0.0072,0.0373,0.355,0.2618,1.25,166.69,-0.0285,0.1281,162.0,Kelsey Mitchell|Aliyah Boston,Natisha Hiedeman|Flau'jae Johnson,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.235|20.03|14.65|-197.9,110.0,107.0,3.0,217.0,,,,-4.52,-2.49,45.80000000000001,W,W,L,IND,W
2026-07-17T23:31:47Z,2026-07-17,TOR,ATL,23:30,-5.39,-7.12,173.7,"8.5@114,-138","182.5@105,-132","@349,-438",,-0.334,-134.3,-0.0993,0.0542,-0.015,-0.1481,1.878,168.31,0.0156,0.104,162.0,Julie Allemand|Maria Conde,Rhyne Howard|Jordin Canada,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.235|20.03|14.65|-197.9,92.0,111.0,-19.0,203.0,,,,-13.61,-11.879999999999999,29.30000000000001,L,L,L,ATL,W
2026-07-17T23:31:47Z,2026-07-17,CHI,LA,23:30,1.6,1.68,178.0,"-4.0@120,-146","184.5@111,-139","@-138,118",,-0.052,-61.6,0.0586,-0.0205,-0.011,0.0698,1.404,173.18,-0.0061,0.0177,162.0,Azura Stevens|Natasha Cloud,Nneka Ogwumike|Dearica Hamby,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.235|20.03|14.65|-197.9,96.0,82.0,14.0,178.0,,,,12.4,12.32,0.0,L,L,W,CHI,W
2026-07-17T23:31:47Z,2026-07-18,PHX,CON,02:00,2.41,2.4,165.2,"-5.5@114,-139","164.0@103,-130","@-182,154",,-0.031,112.2,-0.0812,0.1595,0.043,-0.0148,-4.148,162.3,0.0024,0.0505,162.0,Alyssa Thomas|Kahleah Copper,Leila Lacan|Charlisse Leger-Walker,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.235|20.03|14.65|-197.9,,,,,,,,,,,,,,,
2026-07-18T18:33:06Z,2026-07-19,IND,NY,00:00,2.92,0.53,166.2,"1.0@108,-131","183.0@109,-138","@114,-133",,0.054,25.6,0.026,-0.051,0.249,-0.0607,2.824,164.32,-0.0182,0.1169,159.65,Kelsey Mitchell|Aliyah Boston,Breanna Stewart|Sabrina Ionescu,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.254|18.87|14.87|-200.9,,,,,,,,,,,,,,,
2026-07-18T18:33:06Z,2026-07-19,MIN,POR,00:00,12.46,12.31,166.4,"-14.5@114,-138","175.0@112,-141","@-784,581",,0.555,245.7,0.0259,-0.0791,0.309,0.058,-3.53,165.67,-0.0325,0.0357,159.65,Kayla McBride|Courtney Williams,Bridget Carleton|Megan Gustafson,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.254|18.87|14.87|-200.9,,,,,,,,,,,,,,,
2026-07-18T18:33:06Z,2026-07-19,GS,WSH,00:30,10.47,9.03,156.7,"-9.5@119,-144","151.0@114,-144","@-366,296",,0.387,185.1,-0.0511,0.131,0.257,-0.1295,2.052,157.74,-0.0416,0.0645,159.65,Veronica Burton|Gabby Williams,Sonia Citron|Shakira Austin,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.254|18.87|14.87|-200.9,,,,,,,,,,,,,,,
2026-07-18T23:34:25Z,2026-07-19,IND,NY,00:00,2.92,0.53,163.3,"-1.5@120,-146","185.5@107,-135","@110,-128",,0.054,25.6,0.026,-0.051,0.249,-0.0607,2.824,164.32,-0.0182,0.1169,156.6,Kelsey Mitchell|Aliyah Boston,Breanna Stewart|Sabrina Ionescu,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.272|17.69|15.09|-203.8,,,,,,,,,,,,,,,
2026-07-18T23:34:25Z,2026-07-19,MIN,POR,00:00,12.46,12.31,163.5,"-14.0@108,-131","175.5@107,-135","@-795,588",,0.555,245.7,0.0259,-0.0791,0.309,0.058,-3.53,165.67,-0.0325,0.0357,156.6,Kayla McBride|Courtney Williams,Bridget Carleton|Megan Gustafson,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.272|17.69|15.09|-203.8,,,,,,,,,,,,,,,
2026-07-18T23:34:25Z,2026-07-19,GS,WSH,00:30,10.47,9.03,153.7,"-10.0@116,-141","150.5@111,-140","@-398,320",,0.387,185.1,-0.0511,0.131,0.257,-0.1295,2.052,157.74,-0.0416,0.0645,156.6,Veronica Burton|Gabby Williams,Sonia Citron|Shakira Austin,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.272|17.69|15.09|-203.8,,,,,,,,,,,,,,,
2026-07-19T18:33:18Z,2026-07-19,ATL,CHI,20:00,8.3,8.12,168.6,"-13.0@124,-151","180.5@109,-137","@-518,404",,0.231,192.0,0.0867,0.0081,0.068,-0.2941,0.212,171.95,0.0154,-0.0667,154.1,Rhyne Howard|Jordin Canada,Azura Stevens|Natasha Cloud,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.291|16.61|15.29|-206.7,93.0,91.0,2.0,184.0,,,,-6.300000000000001,-6.119999999999999,15.400000000000006,W,W,L,ATL,W
2026-07-19T18:33:18Z,2026-07-19,PHX,CON,23:00,1.1,1.26,158.7,"-6.5@115,-140","166.5@112,-141","@-187,158",,-0.072,80.3,-0.0871,0.1269,-0.015,-0.0759,-4.033,163.34,-0.002,0.0331,154.1,Alyssa Thomas|Kahleah Copper,Leila Lacan|Charlisse Leger-Walker,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.291|16.61|15.29|-206.7,72.0,63.0,9.0,135.0,,,,7.9,7.74,-23.69999999999999,L,L,W,PHX,W
2026-07-20T19:17:00Z,2026-07-21,TOR,LV,00:00,-5.11,-6.69,150.7,"9.5@107,-135","183.0@114,-144","@412,-529",,-0.409,-173.1,-0.0,0.0738,-0.116,-0.538,3.863,162.02,0.0516,0.0739,146.1,Julie Allemand|Maria Conde,Chelsea Gray|Jackie Young,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.327|14.48|15.65|-212.4,,,,,,,,,,,,,,,
2026-07-20T19:17:00Z,2026-07-21,DAL,NY,00:00,0.1,-2.33,152.6,"4.0@109,-137","176.0@-100,-130","@175,-208",,-0.034,-15.9,0.0092,-0.1203,0.194,-0.3603,0.669,165.13,-0.0421,0.0203,146.1,Jessica Shepard|Paige Bueckers,Breanna Stewart|Sabrina Ionescu,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.327|14.48|15.65|-212.4,,,,,,,,,,,,,,,
2026-07-20T19:17:00Z,2026-07-21,GS,WSH,02:00,9.71,8.36,138.4,"-10.0@111,-140","148.5@101,-131","@-380,306",,0.362,189.3,-0.0713,0.1315,0.237,-0.0377,2.068,153.89,-0.0484,0.0696,146.1,Veronica Burton|Gabby Williams,Sonia Citron|Shakira Austin,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.327|14.48|15.65|-212.4,,,,,,,,,,,,,,,
2026-07-20T19:17:00Z,2026-07-21,SEA,MIN,02:00,-6.42,-5.67,154.3,"8.0@115,-140","174.5@-101,-126","@351,-441",,-0.443,-258.3,0.053,-0.0339,-0.294,-0.0781,2.638,166.45,0.0496,-0.0674,146.1,Natisha Hiedeman|Flau'jae Johnson,Kayla McBride|Courtney Williams,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.327|14.48|15.65|-212.4,,,,,,,,,,,,,,,
