captured_utc,player,team,status,detail
2026-07-05T19:40:49Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) has been ruled out for Sunday's game against the Tempo.
2026-07-05T19:40:49Z,Haley Jones,Dallas Wings,Out,Jones (coach's decision) is out for Sunday's game in Toronto.
2026-07-05T19:40:49Z,Julie Allemand,Toronto Tempo,Out,Allemand (ankle) is listed as out for Sunday's game against Dallas.
2026-07-05T21:40:33Z,Sonia Citron,Washington Mystics,Day-To-Day,Soreness
2026-07-05T22:12:50Z,Aneesah Morrow,Connecticut Sun,Out,out
2026-07-05T22:12:50Z,Olivia Miles,Minnesota Lynx,Day-To-Day,Miles is questionable for Monday's game against the Sun due to a right calf injury.
2026-07-05T22:39:37Z,Aneesah Morrow,Connecticut Sun,Out,Morrow is out for Monday's game against the Lynx due to personal reasons.
2026-07-06T01:25:05Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is out for Monday's game against the Sparks.
2026-07-06T17:13:57Z,Olivia Miles,Minnesota Lynx,Out,Miles (calf) is out for Monday's game against the Sun.
2026-07-06T19:22:00Z,Leonie Fiebich,New York Liberty,Day-To-Day,"Fiebich is questionable for Tuesday's game against the Wings with foot soreness, Jackie Powell of The IX Sports reports."
2026-07-06T22:47:14Z,Darianna Littlepage-Buggs,Washington Mystics,Out,out
2026-07-06T22:47:14Z,Sonia Citron,Washington Mystics,Out,Soreness
2026-07-07T00:19:01Z,Hailey Van Lith,Connecticut Sun,Out,Van Lith (coach's decision) is out for Monday's game against the Lynx.
2026-07-07T00:19:01Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) has been ruled out for Monday's game in Minnesota.
2026-07-07T00:19:01Z,Noemie Brochant,Phoenix Mercury,Out,Brochant (ankle) is probable for Tuesday's game against the Sky.
2026-07-07T00:19:01Z,Darianna Littlepage-Buggs,Washington Mystics,Out,Littlepage-Buggs (coach's decision) has been ruled out for Monday's game against Golden State.
2026-07-07T04:16:25Z,Alissa Pili,Los Angeles Sparks,Out,Pili (coach's decision) is out for Monday's game against the Storm.
2026-07-07T15:14:24Z,Leonie Fiebich,New York Liberty,Out,Fiebich (foot) has been ruled out for Tuesday's game against Dallas.
2026-07-07T18:36:02Z,Temi Fagbenle,Toronto Tempo,Out,"Fagbenle (eye) is out for Wednesday's game against the Valkyries, Chelsea Leite of TSN reports."
2026-07-07T20:13:51Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) said Tuesday she's optimistic about playing against the Sparks on Wednesday, Chloe Peterson of The Indianapolis Star reports."
2026-07-07T22:00:00Z,Aneesah Morrow,Connecticut Sun,Out,Morrow is out for Wednesday's game against the Lynx due to personal reasons.
2026-07-07T22:00:00Z,Olivia Miles,Minnesota Lynx,Day-To-Day,Miles (calf) is doubtful for Wednesday's game against the Sun.
2026-07-08T01:09:28Z,Chloe Bibby,Chicago Sky,Out,"Bibby (coach's decision) has been ruled out for Tuesday's game against Phoenix, WNBA reporter Kareem Copeland reports."
2026-07-08T01:09:28Z,Maddy Westbeld,Chicago Sky,Out,"Westbeld (coach's decision) has been ruled out for Tuesday's game against the Mercury, Kareem Copeland of ESPN reports."
2026-07-08T01:09:28Z,Skylar Diggins,Chicago Sky,Out,Diggins (knee) has been ruled out for Tuesday's game against Phoenix.
2026-07-08T01:09:28Z,Aliyah Boston,Indiana Fever,Day-To-Day,Boston (leg) is questionable for Wednesday's game against Los Angeles.
2026-07-08T01:09:28Z,Caitlin Clark,Indiana Fever,Out,Clark (back) is listed as probable for Wednesday's game against the Sparks.
2026-07-08T03:43:36Z,Rebecca Allen,New York Liberty,Out,"Allen sustained an apparent nasal injury in the fourth quarter of Tuesday's 88-77 loss to the Wings and did not return, finishing with one b"
2026-07-08T03:43:36Z,Alyssa Thomas,Phoenix Mercury,Day-To-Day,"Thomas exited to the locker room in the third quarter of Tuesday's game against the Sky due to an apparent lower left leg injury, Hayden Cil"
2026-07-08T03:43:36Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) has been ruled out for Tuesday's game against the Sky.
2026-07-08T19:53:23Z,Aliyah Boston,Indiana Fever,Out,"Boston (lower leg) is out for Wednesday's game against the Sparks but will be available for Thursday's game against Phoenix, per Chloe Peter"
2026-07-08T21:22:04Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) is questionable for Thursday's game against the Storm.
2026-07-08T21:22:04Z,Olivia Miles,Minnesota Lynx,Out,Miles (calf) is out for Wednesday's game against the Sun.
2026-07-08T21:22:04Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is out for Thursday's game against the Dream.
2026-07-08T22:41:23Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Wednesday's game against the Tempo.
2026-07-08T22:41:23Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) is out for Wednesday's game against the Tempo.
2026-07-08T22:41:23Z,Ornella Bankole,Toronto Tempo,Out,out
2026-07-08T23:45:03Z,Hailey Van Lith,Connecticut Sun,Out,Van Lith (coach's decision) is out for Wednesday's game against the Lynx.
2026-07-08T23:45:03Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) has been ruled out for Wednesday's game against the Lynx.
2026-07-08T23:45:03Z,Brittney Griner,Connecticut Sun,Out,Griner is out for Wednesday's game against the Lynx due to a left quadriceps strain.
2026-07-08T23:45:03Z,Ornella Bankole,Toronto Tempo,Out,Bankole (coach's decision) has been ruled out for Wednesday's game against Golden State.
2026-07-09T04:16:11Z,Saniya Rivers,Connecticut Sun,Out,"Rivers (ankle) won't return to Thursday's game against Minnesota. She will finish with five points (2-5 FG, 0-2 3Pt, 1-2 FT), one rebound, t"
2026-07-09T04:16:11Z,Gabby Williams,Golden State Valkyries,Out,Bruise
2026-07-09T04:16:11Z,Justine Pissott,Las Vegas Aces,Out,Pissott (not with team) has been ruled out for Thursday's game against the Fire.
2026-07-09T04:16:11Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) has been ruled out for Thursday's game against Portland.
2026-07-09T04:16:11Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is listed as doubtful for Thursday's game in Portland.
2026-07-09T04:16:11Z,A'ja Wilson,Las Vegas Aces,Out,Wilson (leg) is listed as questionable for Thursday's game against the Fire.
2026-07-09T04:16:11Z,Alyssa Thomas,Phoenix Mercury,Day-To-Day,Thomas (foot) is listed as probable for Thursday's game against Indiana.
2026-07-09T04:16:11Z,Karlie Samuelson,Portland Fire,Out,Samuelson (finger) is listed as questionable for Thursday's game against Las Vegas.
2026-07-09T04:16:11Z,Sania Feagin,Portland Fire,Out,Feagin (knee) has been ruled out for Thursday's game against the Aces.
2026-07-09T04:16:11Z,Nyara Sabally,Toronto Tempo,Out,"Sabally won't return to Wednesday's game against the Valkyries due to a left knee injury, Ian Finlayson of Sportsnet reports. She'll finish "
2026-07-09T07:52:49Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) posted nine points (4-12 FG, 1-6 3Pt), four rebounds, three assists and one steal across 16 minutes in Wednesday's 106-92 loss "
2026-07-09T20:28:36Z,Aliyah Boston,Indiana Fever,Day-To-Day,Boston (lower leg) is probable for Thursday's game against the Mercury.
2026-07-09T20:28:36Z,Sophie Cunningham,Indiana Fever,Day-To-Day,Cunningham (back) is questionable for Thursday's game against the Mercury.
2026-07-09T22:07:31Z,Aneesah Morrow,Connecticut Sun,Out,Morrow (reconditioning) is out for Friday's game against Golden State.
2026-07-09T22:07:31Z,Saniya Rivers,Connecticut Sun,Out,Sprain
2026-07-09T22:07:31Z,Brittney Griner,Connecticut Sun,Out,Griner (quadriceps) is out for Friday's game against the Valkyries.
2026-07-09T22:07:31Z,Gabby Williams,Golden State Valkyries,Day-To-Day,Bruise
2026-07-09T22:07:31Z,Nyara Sabally,Toronto Tempo,Day-To-Day,Sabally (knee) is questionable for Friday's game against Dallas.
2026-07-09T22:07:31Z,Temi Fagbenle,Toronto Tempo,Out,Fagbenle (concussion) is out for Friday's game against the Wings.
2026-07-09T23:35:12Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) has been ruled out for Thursday's game against the Storm.
2026-07-09T23:35:12Z,Jaylyn Sherrod,Atlanta Dream,Out,Sherrod (coach's decision) has been ruled out for Thursday's game against Seattle.
2026-07-09T23:35:12Z,Sania Feagin,Portland Fire,Out,"Feagin (knee) was diagnosed with a torn left ACL on Thursday and will miss the rest of the 2026 campaign, WNBA reporter Kareem Copeland repo"
2026-07-10T01:14:44Z,Skylar Diggins,Chicago Sky,Out,Diggins (knee) is listed as out for Friday's game against the Sparks.
2026-07-10T04:13:53Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is listed as out for Thursday's game versus the Fire.
2026-07-10T04:13:53Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) has been ruled out for Thursday's game against the Fever.
2026-07-10T04:13:53Z,Quionche Carter,Phoenix Mercury,Out,Carter (coach's decision) has been ruled out for Thursday's game against the Fever.
2026-07-10T04:13:53Z,Jordan Harrison,Portland Fire,Out,Harrison (coach's decision) is listed as out for Thursday's game against Las Vegas.
2026-07-10T09:52:40Z,Indya Nivar,Atlanta Dream,Out,Nivar (coach's decision) has been ruled out for Thursday's game against Seattle.
2026-07-10T09:52:40Z,Ta'Niya Latson,Las Vegas Aces,Out,Latson (not with team) has been ruled out for Thursday's game against Portland.
2026-07-10T18:11:04Z,Nyara Sabally,Toronto Tempo,Out,Sabally (knee) is out for Friday's game against the Wings.
2026-07-10T21:20:15Z,Angel Reese,Atlanta Dream,Day-To-Day,day-to-day
2026-07-10T21:20:15Z,Karlie Samuelson,Portland Fire,Day-To-Day,Samuelson (finger) is questionable for Saturday's game against the Dream.
2026-07-10T22:15:21Z,Angel Reese,Atlanta Dream,Day-To-Day,Reese (leg) is questionable for Saturday's game against the Fire.
2026-07-10T22:15:21Z,Sarah Ashlee Barker,Portland Fire,Out,Barker (not with team) is listed as out for Saturday's game against the Dream.
2026-07-10T22:38:58Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) has been ruled out for Friday's game against the Tempo.
2026-07-10T22:38:58Z,Haley Jones,Dallas Wings,Out,Jones (coach's decision) has been ruled out for Friday's game against the Tempo.
2026-07-10T22:38:58Z,Rebecca Allen,New York Liberty,Out,Allen (nose) is listed as questionable for Saturday's game against the Lynx.
2026-07-10T22:38:58Z,Leonie Fiebich,New York Liberty,Out,Fiebich (foot) is out for Saturday game against the Lynx.
2026-07-10T23:37:15Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) has been ruled out for Friday's game against Golden State.
2026-07-10T23:37:15Z,Gabby Williams,Golden State Valkyries,Out,Bruise
2026-07-10T23:37:15Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Friday's game in Connecticut.
2026-07-10T23:37:15Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) has been ruled out for Friday's game against the Sun.
2026-07-10T23:37:15Z,Ornella Bankole,Toronto Tempo,Out,Bankole (coach's decision) won't play Friday against the Wings.
2026-07-11T01:06:01Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) is listed as out for Saturday's game against Phoenix.
2026-07-11T01:06:01Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is questionable for Saturday's game against the Mercury.
2026-07-11T01:06:01Z,Sami Whitcomb,Phoenix Mercury,Day-To-Day,Whitcomb (knee) is questionable for Saturday's game in Las Vegas.
2026-07-11T03:41:33Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) is listed as out for Friday's game versus the Sparks.
2026-07-11T03:41:33Z,Chloe Bibby,Chicago Sky,Out,Bibby (coach's decision) has been ruled out for Friday's game against the Sparks.
2026-07-11T06:57:50Z,Rebecca Allen,New York Liberty,Day-To-Day,day-to-day
2026-07-11T06:57:50Z,Pauline Astier,New York Liberty,Day-To-Day,day-to-day
2026-07-11T16:09:54Z,Marine Fauthoux,New York Liberty,Out,out
2026-07-11T16:09:54Z,Anneli Maley,New York Liberty,Out,out
2026-07-11T17:15:32Z,Liatu King,Minnesota Lynx,Out,King (coach's decision) has been ruled out for Saturday's game against the Liberty.
2026-07-11T17:15:32Z,Marine Fauthoux,New York Liberty,Out,Fauthoux (coach's decision) is listed as out for Saturday's game against Minnesota.
2026-07-11T17:15:32Z,Anneli Maley,New York Liberty,Out,Maley (coach's decision) is listed as out for Saturday's game against Minnesota.
2026-07-11T18:33:37Z,Jackie Young,Las Vegas Aces,Day-To-Day,Young (illness) is listed as questionable for Saturday's game against the Mercury.
2026-07-11T19:31:09Z,Maya Caldwell,Minnesota Lynx,Out,out
2026-07-11T19:50:01Z,Jaylyn Sherrod,Atlanta Dream,Out,out
2026-07-11T19:50:01Z,Maya Caldwell,Minnesota Lynx,Out,"Caldwell (migraine) exited Saturday's 90-85 win over the Liberty and did not return, finishing with five points (2-3 FG, 1-2 FT), one reboun"
2026-07-11T19:50:01Z,Jordan Harrison,Portland Fire,Out,out
2026-07-11T21:02:39Z,Angel Reese,Atlanta Dream,Out,out
2026-07-11T21:02:39Z,Jaylyn Sherrod,Atlanta Dream,Out,Sherrod (coach's decision) has been ruled out for Saturday's game against Portland.
2026-07-11T21:02:39Z,Dana Evans,Las Vegas Aces,Out,"Evans (leg) isn't expected to suit up for Saturday's game versus Phoenix, Nekias Duncan of Yahoo reports."
2026-07-11T21:02:39Z,Janiah Barker,Las Vegas Aces,Out,"Head coach Becky Hammon said Saturday that she expects a long-term absence for Barker, Nekias Duncan of Yahoo Sports reports."
2026-07-11T21:02:39Z,Jackie Young,Las Vegas Aces,Day-To-Day,"Aces head coach Becky Hammon told reporters that Young (illness) is ""doubtful"" for Saturday's game against the Mercury, Nekias Duncan of Yah"
2026-07-11T21:02:39Z,Jordan Harrison,Portland Fire,Out,Harrison (coach's decision) has been ruled out for Saturday's game against Atlanta.
2026-07-11T21:02:39Z,Alicia Florez,Washington Mystics,Day-To-Day,Soreness
2026-07-11T22:04:55Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is listed as out for Saturday's game versus the Mercury.
2026-07-11T22:04:55Z,Ta'Niya Latson,Las Vegas Aces,Out,Latson (coach's decision) has been ruled out for Saturday's game against the Mercury.
2026-07-11T22:04:55Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) is listed as out for Saturday's game against the Aces.
2026-07-11T22:04:55Z,Quionche Carter,Phoenix Mercury,Out,Carter (coach's decision) has been ruled out for Saturday's game against the Aces.
2026-07-11T22:04:55Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) has been ruled out for Sunday's game against the Mystics.
2026-07-11T22:04:55Z,Ezi Magbegor,Seattle Storm,Out,Magbegor (face) has been ruled out for Sunday's game against the Mystics.
2026-07-11T22:04:55Z,Temi Fagbenle,Toronto Tempo,Out,Fagbenle (concussion) has been ruled out for Sunday's game against the Liberty.
2026-07-11T22:04:55Z,Ornella Bankole,Toronto Tempo,Out,Bankole (coach's decision) is not listed on the injury report ahead of Sunday's game versus the Liberty.
2026-07-11T22:04:55Z,Nyara Sabally,Toronto Tempo,Day-To-Day,Sabally (knee) is listed as questionable for Sunday's game against New York.
2026-07-11T23:08:06Z,Skylar Diggins,Chicago Sky,Out,Diggins (knee) has been ruled out for Sunday's game against Dallas.
2026-07-12T03:53:44Z,Caitlin Clark,Indiana Fever,Day-To-Day,Clark (back) is listed as probable for Sunday's game against the Aces.
2026-07-12T06:44:50Z,Angel Reese,Atlanta Dream,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Ta'Niya Latson,Las Vegas Aces,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Liatu King,Minnesota Lynx,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Maya Caldwell,Minnesota Lynx,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Leonie Fiebich,New York Liberty,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Quionche Carter,Phoenix Mercury,Day-To-Day,day-to-day
2026-07-12T06:44:50Z,Sarah Ashlee Barker,Portland Fire,Day-To-Day,day-to-day
2026-07-12T16:10:57Z,Leonie Fiebich,New York Liberty,Out,Fiebich (foot) is listed as out for Sunday's game versus the Tempo.
2026-07-12T17:41:02Z,Marine Fauthoux,New York Liberty,Out,"Fauthoux (coach's decision) won't play in Sunday's game against Toronto, Myles Ehrlich of Winsidr.com reports."
2026-07-12T17:41:02Z,Ezi Magbegor,Seattle Storm,Out,"Magbegor (face) was diagnosed with a facial fracture and will be ""reevaluated in the next couple of weeks,"" Percy Allen of the Seattle Times"
2026-07-12T18:37:44Z,Darianna Littlepage-Buggs,Washington Mystics,Out,Littlepage-Buggs (coach's decision) is listed as out for Sunday's game against the Storm.
2026-07-12T21:04:34Z,Angel Reese,Atlanta Dream,Day-To-Day,Reese (leg) is listed as questionable for Monday's game against Los Angeles.
2026-07-12T21:04:34Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is listed as probable for Sunday's game against Indiana.
2026-07-12T21:04:34Z,Kierstan Bell,Las Vegas Aces,Out,Bell has been ruled out for Sunday's game against the Fever due to a right leg injury.
2026-07-12T23:07:32Z,Chloe Bibby,Chicago Sky,Out,Bibby (coach's decision) has been ruled out for Sunday's game against the Wings.
2026-07-12T23:07:32Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) has been ruled out for Sunday's game against the Sky.
2026-07-12T23:07:32Z,Haley Jones,Dallas Wings,Out,Jones (coach's decision) has been ruled out for Sunday's game against the Sky.
2026-07-12T23:07:32Z,Sami Whitcomb,Phoenix Mercury,Day-To-Day,Whitcomb (knee) is probable for Monday's matchup with Minnesota.
2026-07-13T03:57:12Z,Alanna Smith,Dallas Wings,Day-To-Day,Smith suffered a right lower-leg injury during Sunday's game against the Sky and will not return.
2026-07-13T03:57:12Z,Bree Hall,Indiana Fever,Out,Hall (coach's decision) has been ruled out for Sunday's game against the Aces.
2026-07-13T03:57:12Z,Ta'Niya Latson,Las Vegas Aces,Out,Latson (coach's decision) won't play Sunday against the Fever.
2026-07-13T15:11:04Z,Alanna Smith,Dallas Wings,Out,out
2026-07-13T15:11:04Z,Sarah Ashlee Barker,Portland Fire,Out,out
2026-07-13T21:11:53Z,Aneesah Morrow,Connecticut Sun,Out,Morrow (reconditioning) is out for Tuesday's game against the Fire.
2026-07-13T21:11:53Z,Brittney Griner,Connecticut Sun,Out,Griner (quadriceps) is questionable for Tuesday's game against the Fire.
2026-07-13T21:11:53Z,Temi Fagbenle,Toronto Tempo,Out,Fagbenle (concussion) is questionable for Tuesday's game against the Mystics.
2026-07-13T23:11:40Z,Jaylyn Sherrod,Atlanta Dream,Out,Sherrod (coach's decision) has been ruled out for Monday's game against the Sparks.
2026-07-13T23:11:40Z,Indya Nivar,Atlanta Dream,Out,Nivar (coach's decision) has been ruled out for Monday's game against the Sparks.
2026-07-14T03:30:13Z,Dorka Juhasz,Minnesota Lynx,Day-To-Day,Juhasz (knee) has been downgraded to doubtful for of Monday's game versus the Sun.
2026-07-14T03:30:13Z,Liatu King,Minnesota Lynx,Out,King (coach's decision) has been ruled out for Monday's game against the Mercury.
2026-07-14T03:30:13Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) won't play Monday versus Minnesota.
2026-07-14T03:30:13Z,Quionche Carter,Phoenix Mercury,Out,Carter (coach's decision) is out for Monday's meeting with Minnesota.
2026-07-14T05:56:04Z,Dorka Juhasz,Minnesota Lynx,Out,Juhasz (knee) didn't play in Monday's 104-100 win over the Mercury.
2026-07-14T15:42:50Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) has been ruled out for Tuesday's game against the Fire.
2026-07-14T15:42:50Z,Jordan Harrison,Portland Fire,Out,Harrison (coach's decision) has been ruled out for Tuesday's game against the Sun.
2026-07-14T16:38:13Z,Temi Fagbenle,Toronto Tempo,Out,Fagbenle (concussion) has been ruled out for Tuesday's game against the Mystics.
2026-07-14T19:54:45Z,Skylar Diggins,Chicago Sky,Out,"Head coach Tyler Marsh said Tuesday that Diggins (knee) is without a timetable for a return, Alissa Hirsh of the Chicago Sun-Times reports."
2026-07-14T21:13:13Z,Gabby Williams,Golden State Valkyries,Day-To-Day,Bruise
2026-07-14T22:11:41Z,Kamilla Cardoso,Chicago Sky,Day-To-Day,Cardoso is questionable for Wednesday's game against the Storm due to a right knee injury.
2026-07-14T22:11:41Z,Caitlin Clark,Indiana Fever,Day-To-Day,"Clark (back) is probable for Wednesday's game against the Valkyries, Scott Agness of FieldhouseFiles.com reports."
2026-07-14T22:11:41Z,Dorka Juhasz,Minnesota Lynx,Day-To-Day,Juhasz (knee) is questionable for Wednesday's game against the Aces.
2026-07-15T15:47:12Z,Kamilla Cardoso,Chicago Sky,Out,out
2026-07-15T15:47:12Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) has been ruled out for Wednesday's game against the Sky.
2026-07-15T16:44:52Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) has been ruled out for Wednesday's game against the Storm.
2026-07-15T16:44:52Z,Kamilla Cardoso,Chicago Sky,Out,"Cardoso (knee) has been ruled out for Wednesday's game against the Storm, per Chicago State of Mind Sports."
2026-07-15T16:44:52Z,Dorka Juhasz,Minnesota Lynx,Out,Juhasz (knee) has been ruled out for Wednesday's game against the Sparks.
2026-07-15T19:35:35Z,Olivia Miles,Minnesota Lynx,Day-To-Day,Miles (ankle) is doubtful to return to Wednesday's game against the Sparks.
2026-07-15T20:17:56Z,Olivia Miles,Minnesota Lynx,Out,"Head coach Cheryl Reeve had no update on Miles' (ankle) status following Wednesday's 96-87 win over the Sparks, per Andrew Dukowitz of ZoneC"
2026-07-15T21:37:31Z,Leonie Fiebich,New York Liberty,Out,"Fiebich (foot) is out for Thursday's game against the Wings, Madeline Kenney of the New York Post reports."
2026-07-15T21:37:31Z,Teja Oblak,Portland Fire,Day-To-Day,Oblak (illness) is questionable for Thursday's game against the Mystics.
2026-07-15T21:37:31Z,Megan Gustafson,Portland Fire,Out,Gustafson (personal) is out for Thursday's game against Washington.
2026-07-15T22:11:47Z,Alanna Smith,Dallas Wings,Out,Smith (lower leg) is doubtful for Thursday's game against the Liberty.
2026-07-16T01:06:33Z,Janiah Barker,Las Vegas Aces,Out,"Barker (leg) will be sidelined for the rest of the 2026 season, Callie Fin of USA Today reports."
