ts,teams,type,side,points,prices,alt
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,moneyline,,,"-135,111",0
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,team_total,home,88.5,"-111,-113",0
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,team_total,away,87.5,"-105,-120",0
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-2.0,"-110,-110",0
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,1.0,"-143,114",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-1.0,"-129,102",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-1.5,"-121,-103",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-2.5,"-103,-122",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-3.0,"105,-132",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,spread,,-3.5,"114,-143",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,175.5,"-108,-116",0
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,174.0,"-129,-101",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,174.5,"-122,-106",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,175.0,"-116,-112",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,176.0,"-105,-124",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,176.5,"-100,-130",1
2026-07-16T00:09:03Z,Dallas Wings|New York Liberty,total,,177.0,"106,-138",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,moneyline,,,"-151,129",0
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,team_total,home,84.0,"-111,-109",0
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,team_total,away,82.5,"-105,-115",0
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-2.5,"-109,-107",0
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-1.0,"-137,113",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-1.5,"-130,107",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-2.0,"-121,-100",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-3.0,"-102,-119",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-3.5,"107,-129",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,spread,,-4.0,"115,-140",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,166.0,"-104,-116",0
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,164.5,"-126,100",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,165.0,"-119,-106",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,165.5,"-112,-112",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,166.5,"-101,-124",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,167.0,"104,-131",1
2026-07-16T00:09:03Z,Indiana Fever|Golden State Valkyries,total,,167.5,"108,-136",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,moneyline,,,"-240,193",0
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,team_total,home,84.5,"-111,-113",0
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,team_total,away,79.5,"-108,-117",0
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-6.0,"-110,-110",0
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-4.5,"-145,115",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-5.0,"-134,106",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-5.5,"-123,-102",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-6.5,"-102,-123",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-7.0,"106,-134",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,spread,,-7.5,"115,-144",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,163.5,"-112,-112",0
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,162.0,"-133,102",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,162.5,"-127,-103",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,163.0,"-120,-108",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,164.0,"-108,-120",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,164.5,"-103,-126",1
2026-07-16T00:09:03Z,Washington Mystics|Portland Fire,total,,165.0,"102,-133",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,moneyline,,,"-135,111",0
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,team_total,home,88.5,"-111,-113",0
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,team_total,away,87.5,"-105,-120",0
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-2.0,"-110,-110",0
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,1.0,"-143,114",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-1.0,"-129,102",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-1.5,"-121,-103",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-2.5,"-103,-122",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-3.0,"105,-132",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,spread,,-3.5,"114,-143",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,175.5,"-108,-116",0
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,174.0,"-129,-101",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,174.5,"-122,-106",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,175.0,"-116,-112",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,176.0,"-105,-124",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,176.5,"-100,-130",1
2026-07-16T00:10:20Z,Dallas Wings|New York Liberty,total,,177.0,"106,-138",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,moneyline,,,"-151,129",0
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,team_total,home,84.0,"-111,-109",0
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,team_total,away,82.5,"-105,-115",0
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-2.5,"-109,-107",0
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-1.0,"-137,113",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-1.5,"-130,107",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-2.0,"-121,-100",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-3.0,"-102,-119",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-3.5,"107,-129",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,spread,,-4.0,"115,-140",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,166.0,"-104,-116",0
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,164.5,"-126,100",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,165.0,"-119,-106",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,165.5,"-112,-112",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,166.5,"-101,-124",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,167.0,"104,-131",1
2026-07-16T00:10:20Z,Indiana Fever|Golden State Valkyries,total,,167.5,"108,-136",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,moneyline,,,"-240,193",0
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,team_total,home,84.5,"-111,-113",0
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,team_total,away,79.5,"-108,-117",0
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-6.0,"-110,-110",0
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-4.5,"-145,115",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-5.0,"-134,106",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-5.5,"-123,-102",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-6.5,"-102,-123",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-7.0,"106,-134",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,spread,,-7.5,"115,-144",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,163.5,"-112,-112",0
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,162.0,"-133,102",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,162.5,"-127,-103",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,163.0,"-120,-108",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,164.0,"-108,-120",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,164.5,"-103,-126",1
2026-07-16T00:10:20Z,Washington Mystics|Portland Fire,total,,165.0,"102,-133",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,moneyline,,,"-135,111",0
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,team_total,home,88.5,"-111,-113",0
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,team_total,away,87.5,"-105,-120",0
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-2.0,"-110,-110",0
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,1.0,"-143,114",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-1.0,"-129,102",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-1.5,"-121,-103",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-2.5,"-103,-122",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-3.0,"105,-132",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,spread,,-3.5,"114,-143",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,175.5,"-108,-116",0
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,174.0,"-129,-101",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,174.5,"-122,-106",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,175.0,"-116,-112",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,176.0,"-105,-124",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,176.5,"-100,-130",1
2026-07-16T00:11:36Z,Dallas Wings|New York Liberty,total,,177.0,"106,-138",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,moneyline,,,"-151,129",0
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,team_total,home,84.0,"-111,-109",0
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,team_total,away,82.5,"-105,-115",0
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-2.5,"-109,-107",0
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-1.0,"-137,113",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-1.5,"-130,107",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-2.0,"-121,-100",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-3.0,"-102,-119",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-3.5,"107,-129",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,spread,,-4.0,"115,-140",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,166.0,"-104,-116",0
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,164.5,"-126,100",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,165.0,"-119,-106",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,165.5,"-112,-112",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,166.5,"-101,-124",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,167.0,"104,-131",1
2026-07-16T00:11:36Z,Indiana Fever|Golden State Valkyries,total,,167.5,"108,-136",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,moneyline,,,"-240,193",0
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,team_total,home,84.5,"-111,-113",0
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,team_total,away,79.5,"-108,-117",0
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-6.0,"-110,-110",0
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-4.5,"-145,115",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-5.0,"-134,106",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-5.5,"-123,-102",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-6.5,"-102,-123",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-7.0,"106,-134",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,spread,,-7.5,"115,-144",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,163.5,"-112,-112",0
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,162.0,"-133,102",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,162.5,"-127,-103",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,163.0,"-120,-108",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,164.0,"-108,-120",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,164.5,"-103,-126",1
2026-07-16T00:11:36Z,Washington Mystics|Portland Fire,total,,165.0,"102,-133",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,moneyline,,,"-135,111",0
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,team_total,home,88.5,"-111,-113",0
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,team_total,away,87.5,"-105,-120",0
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-2.0,"-110,-110",0
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,1.0,"-143,114",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-1.0,"-129,102",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-1.5,"-121,-103",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-2.5,"-103,-122",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-3.0,"105,-132",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,spread,,-3.5,"114,-143",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,175.5,"-108,-116",0
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,174.0,"-129,-101",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,174.5,"-122,-106",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,175.0,"-116,-112",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,176.0,"-105,-124",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,176.5,"-100,-130",1
2026-07-16T00:12:51Z,Dallas Wings|New York Liberty,total,,177.0,"106,-138",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,moneyline,,,"-240,193",0
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,team_total,home,84.5,"-111,-113",0
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,team_total,away,79.5,"-108,-117",0
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-6.0,"-110,-110",0
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-4.5,"-145,115",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-5.0,"-134,106",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-5.5,"-123,-102",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-6.5,"-102,-123",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-7.0,"106,-134",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,spread,,-7.5,"115,-144",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,163.5,"-112,-112",0
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,162.0,"-133,102",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,162.5,"-127,-103",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,163.0,"-120,-108",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,164.0,"-108,-120",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,164.5,"-103,-126",1
2026-07-16T00:12:51Z,Washington Mystics|Portland Fire,total,,165.0,"102,-133",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,moneyline,,,"-135,111",0
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,team_total,home,88.5,"-111,-113",0
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,team_total,away,87.5,"-105,-120",0
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-2.0,"-110,-110",0
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,1.0,"-143,114",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-1.0,"-129,102",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-1.5,"-121,-103",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-2.5,"-103,-122",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-3.0,"105,-132",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,spread,,-3.5,"114,-143",1
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,total,,175.5,"-108,-116",0
2026-07-16T00:14:06Z,Dallas Wings|New York Liberty,total,,174.0,"-129,-101",1
